name,team,era,position,overall,pace,shooting,passing,dribbling,defending,physical,goalkeeping,big_game,nationality,source_label,source_url,source_game,source_notes
Tostão,Brazil,1960s,CF,91,82,88,88,89,42,76,,93,Brazil,Legacy proxy: Brazil 1970 World Cup squad,https://en.wikipedia.org/wiki/1970_FIFA_World_Cup_squads,Historical proxy rating,World Cup attacking role and historical reputation reviewed for an EA-style proxy
Amarildo Tavares da Silveira,Brazil,1960s,LW,89,86,86,79,88,42,78,,90,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup scoring role and historical reputation reviewed for an EA-style proxy
Coutinho,Brazil,1960s,ST,90,82,91,78,87,38,78,,90,Brazil,Legacy proxy: Brazil 1962 World Cup squad,https://en.wikipedia.org/wiki/1962_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad and Santos-era reputation reviewed for an EA-style proxy
Alfredo Di Stéfano,Real Madrid,1950s,CF,98,86,96,92,93,70,87,,99,Argentina,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Ferenc Puskás,Real Madrid,1950s,ST,96,78,98,88,90,45,82,,98,Hungary,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup final goals and historical reputation reviewed for an EA-style proxy
Paco Gento,Real Madrid,1950s,LW,94,96,88,86,92,50,78,,96,Spain,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Raymond Kopa,Real Madrid,1950s,AM,93,84,86,92,94,48,72,,94,France,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1959_European_Cup_final,Historical proxy rating,European Cup dynasty and Ballon d Or era reputation reviewed for an EA-style proxy
Héctor Rial,Real Madrid,1950s,CF,90,78,90,84,86,40,76,,91,Argentina,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1958_European_Cup_final,Historical proxy rating,European Cup final record and historical reputation reviewed for an EA-style proxy
José Santamaría,Real Madrid,1950s,CB,93,72,48,76,74,94,88,,94,Uruguay,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Marquitos,Real Madrid,1950s,CB,88,70,42,68,68,88,84,,89,Spain,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1956_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Miguel Muñoz,Real Madrid,1950s,CM,88,68,70,84,80,82,80,,90,Spain,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1956_European_Cup_final,Historical proxy rating,European Cup captaincy and historical reputation reviewed for an EA-style proxy
Rogelio Domínguez,Real Madrid,1950s,GK,86,48,24,56,54,58,72,86,87,Argentina,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1958_European_Cup_final,Historical proxy rating,European Cup era and historical reputation reviewed for an EA-style proxy
José María Zárraga,Real Madrid,1950s,CM,87,70,66,80,78,84,82,,88,Spain,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Alfredo Di Stéfano,Real Madrid,1960s,CF,96,82,94,91,91,68,84,,97,Argentina,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Ferenc Puskás,Real Madrid,1960s,ST,95,74,97,87,88,42,80,,97,Hungary,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup final goals and historical reputation reviewed for an EA-style proxy
Paco Gento,Real Madrid,1960s,LW,93,95,86,85,91,50,77,,95,Spain,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Amancio Amaro,Real Madrid,1960s,RW,91,88,88,84,90,50,76,,93,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Pirri,Real Madrid,1960s,CM,90,80,82,86,84,86,88,,92,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
José Santamaría,Real Madrid,1960s,CB,92,70,46,75,73,93,87,,93,Uruguay,Legacy proxy: Real Madrid European Cup era,https://en.wikipedia.org/wiki/1960_European_Cup_final,Historical proxy rating,European Cup dynasty and historical reputation reviewed for an EA-style proxy
Ignacio Zoco,Real Madrid,1960s,CM,88,74,70,82,80,85,84,,89,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Manuel Sanchís Martínez,Real Madrid,1960s,CB,87,72,44,70,70,87,83,,88,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Antonio Betancort,Real Madrid,1960s,GK,86,50,22,56,55,58,74,86,87,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Félix Ruiz,Real Madrid,1960s,CM,86,76,74,80,81,72,78,,87,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Ramón Grosso,Real Madrid,1960s,CM,86,78,82,79,82,60,78,,87,Spain,Legacy proxy: Real Madrid 1966 European Cup winners,https://en.wikipedia.org/wiki/1966_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Bobby Charlton,Manchester United,1960s,AM,95,78,93,93,88,66,82,,97,England,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup final record and historical reputation reviewed for an EA-style proxy
George Best,Manchester United,1960s,RW,95,91,90,89,96,52,76,,96,Northern Ireland,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup final record and historical reputation reviewed for an EA-style proxy
Denis Law,Manchester United,1960s,ST,94,84,95,82,88,48,82,,95,Scotland,Legacy proxy: Manchester United 1960s European Cup era,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,Ballon d Or era and Manchester United record reviewed for an EA-style proxy
Alex Stepney,Manchester United,1960s,GK,88,48,22,58,56,62,76,88,90,England,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Bill Foulkes,Manchester United,1960s,CB,87,62,38,66,64,88,84,,89,England,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Nobby Stiles,Manchester United,1960s,DM,87,68,58,74,74,89,82,,90,England,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup and World Cup era reputation reviewed for an EA-style proxy
Paddy Crerand,Manchester United,1960s,CM,88,68,70,86,80,78,80,,89,Scotland,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
David Herd,Manchester United,1960s,ST,88,76,89,74,80,42,82,,88,Scotland,Legacy proxy: Manchester United 1960s European Cup era,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,Manchester United scoring record and historical reputation reviewed for an EA-style proxy
Brian Kidd,Manchester United,1960s,ST,86,78,85,72,78,45,80,,88,England,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup final record and historical reputation reviewed for an EA-style proxy
Tony Dunne,Manchester United,1960s,LB,87,78,42,70,72,87,82,,88,Ireland,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Shay Brennan,Manchester United,1960s,RB,86,74,40,68,70,86,81,,87,Ireland,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
David Sadler,Manchester United,1960s,CB,86,70,58,72,72,85,82,,87,England,Legacy proxy: Manchester United 1968 European Cup winners,https://en.wikipedia.org/wiki/1968_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
Gordon Banks,England,1960s,GK,94,50,22,60,58,66,80,94,96,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Bobby Moore,England,1960s,CB,95,68,52,86,82,96,84,,97,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup captaincy and historical reputation reviewed for an EA-style proxy
Bobby Charlton,England,1960s,AM,94,78,92,92,87,66,81,,96,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Alan Ball Jr.,England,1960s,CM,89,84,74,84,84,78,82,,91,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Nobby Stiles,England,1960s,DM,87,68,58,74,74,89,82,,90,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Geoff Hurst,England,1960s,ST,90,76,91,75,81,48,82,,94,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup final hat trick and historical reputation reviewed for an EA-style proxy
Martin Peters,England,1960s,CM,89,76,82,85,83,72,80,,91,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Ray Wilson,England,1960s,LB,88,76,42,72,74,88,82,,89,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
George Cohen,England,1960s,RB,88,78,40,72,74,88,82,,89,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Jack Charlton,England,1960s,CB,88,64,48,68,68,89,86,,90,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and historical reputation reviewed for an EA-style proxy
Roger Hunt,England,1960s,ST,88,78,89,73,80,44,80,,89,England,Legacy proxy: England 1966 World Cup winners,https://en.wikipedia.org/wiki/1966_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning era and Liverpool-era reputation reviewed for an EA-style proxy
Johan Cruyff,Netherlands,1970s,CF,98,90,92,95,98,58,76,,99,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,Total Football peak and historical reputation reviewed for an EA-style proxy
Johan Neeskens,Netherlands,1970s,CM,93,84,84,89,88,86,88,,95,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup finalist era and historical reputation reviewed for an EA-style proxy
Ruud Krol,Netherlands,1970s,LB,92,82,62,84,84,92,84,,93,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,Total Football defensive role and historical reputation reviewed for an EA-style proxy
Rob Rensenbrink,Netherlands,1970s,LW,91,86,88,86,91,50,76,,92,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup finalist era and historical reputation reviewed for an EA-style proxy
Johnny Rep,Netherlands,1970s,RW,89,86,86,78,86,48,78,,90,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup finalist era and historical reputation reviewed for an EA-style proxy
Wim Jansen,Netherlands,1970s,CM,89,78,68,84,82,86,84,,90,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,Total Football midfield role and historical reputation reviewed for an EA-style proxy
Wim Suurbier,Netherlands,1970s,RB,88,84,54,78,80,87,82,,89,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,Total Football fullback role and historical reputation reviewed for an EA-style proxy
Arie Haan,Netherlands,1970s,CM,88,76,78,84,82,82,84,,89,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup finalist era and historical reputation reviewed for an EA-style proxy
Willem van Hanegem,Netherlands,1970s,CM,90,70,78,91,86,76,82,,91,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,Total Football midfield role and historical reputation reviewed for an EA-style proxy
Wim Rijsbergen,Netherlands,1970s,CB,86,72,40,70,70,87,82,,87,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup finalist era and historical reputation reviewed for an EA-style proxy
Jan Jongbloed,Netherlands,1970s,GK,86,54,24,64,62,62,74,86,88,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,Sweeper-keeper role and World Cup finalist era reviewed for an EA-style proxy
Piet Schrijvers,Netherlands,1970s,GK,87,48,22,58,56,64,78,87,87,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad and domestic reputation reviewed for an EA-style proxy
Eddy Treijtel,Netherlands,1970s,GK,85,48,22,56,55,62,76,85,85,Netherlands,Legacy proxy: Netherlands 1974 World Cup squad,https://en.wikipedia.org/wiki/1974_FIFA_World_Cup_squads,Historical proxy rating,World Cup squad and domestic reputation reviewed for an EA-style proxy
Diego Maradona,Argentina,1980s,AM,99,88,94,95,99,50,78,,99,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup Golden Ball and historical reputation reviewed for an EA-style proxy
Ubaldo Fillol,Argentina,1980s,GK,91,50,24,60,58,66,80,91,92,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup winner era and historical reputation reviewed for an EA-style proxy
Nery Pumpido,Argentina,1980s,GK,88,50,22,58,56,64,78,88,90,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning keeper and historical reputation reviewed for an EA-style proxy
Daniel Passarella,Argentina,1980s,CB,92,72,76,78,78,93,88,,94,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup captaincy era and historical reputation reviewed for an EA-style proxy
Oscar Ruggeri,Argentina,1980s,CB,90,74,55,72,72,91,88,,92,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning defender and historical reputation reviewed for an EA-style proxy
José Luis Brown,Argentina,1980s,CB,88,66,62,68,68,88,84,,91,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup final goal and defensive role reviewed for an EA-style proxy
Jorge Valdano,Argentina,1980s,ST,91,82,91,82,86,42,80,,94,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup final goal and historical reputation reviewed for an EA-style proxy
Jorge Burruchaga,Argentina,1980s,AM,90,82,86,87,88,62,78,,94,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup final winning goal and historical reputation reviewed for an EA-style proxy
Sergio Batista,Argentina,1980s,DM,88,70,62,80,78,88,84,,90,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning midfield role reviewed for an EA-style proxy
Ricardo Bochini,Argentina,1980s,AM,88,74,78,89,88,54,72,,88,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,Playmaking reputation and national-team era reviewed for an EA-style proxy
Ricardo Giusti,Argentina,1980s,CM,86,74,64,78,78,82,82,,87,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning midfield role reviewed for an EA-style proxy
Julio Olarticoechea,Argentina,1980s,LB,86,76,54,76,76,86,82,,88,Argentina,Legacy proxy: Argentina 1986 World Cup squad,https://en.wikipedia.org/wiki/1986_FIFA_World_Cup_squads,Historical proxy rating,World Cup winning defensive role reviewed for an EA-style proxy
Claudio Caniggia,Argentina,1980s,ST,89,93,86,78,88,40,76,,90,Argentina,Legacy proxy: Argentina 1990 World Cup squad,https://en.wikipedia.org/wiki/1990_FIFA_World_Cup_squads,Historical proxy rating,World Cup attacking role and historical reputation reviewed for an EA-style proxy
Américo Gallego,Argentina,1980s,CM,87,70,66,80,78,84,83,,88,Argentina,Legacy proxy: Argentina 1982 World Cup squad,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_squads,Historical proxy rating,World Cup-era midfield role and historical reputation reviewed for an EA-style proxy
Daniel Bertoni,Argentina,1980s,RW,88,84,86,80,85,42,78,,89,Argentina,Legacy proxy: Argentina World Cup era,https://en.wikipedia.org/wiki/1982_FIFA_World_Cup_squads,Historical proxy rating,World Cup-era attacking record and historical reputation reviewed for an EA-style proxy
Giovanni Galli,AC Milan,1980s,GK,88,48,22,58,56,64,78,88,89,Italy,Legacy proxy: AC Milan 1989 European Cup winners,https://en.wikipedia.org/wiki/1989_European_Cup_final,Historical proxy rating,European Cup winning era and historical reputation reviewed for an EA-style proxy
