Name,Ratings,Position,Version,PS,SKI,WF,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,Country
Rio Ferdinand,87,CB,,0,2,3,69,45,65,59,86,79,"192cm | 6'4""",0,-,-,Manchester United,England
Steven Gerrard,87,CAM,,0,3,3,76,87,88,77,78,76,"183cm | 6'0""",0,-,-,Liverpool,England
Philipp Lahm,87,LB,,0,3,4,83,59,82,82,77,67,"170cm | 5'7""",0,-,-,Bayern München,Germany
Bastian Schweinsteiger,87,CM,,0,3,3,63,83,86,82,78,68,"183cm | 6'0""",0,-,-,Bayern München,Germany
Rafael van der Vaart,87,CAM,,0,4,4,67,84,86,83,57,59,"176cm | 5'9""",0,-,-,Tottenham Hotspur,Netherlands
Thiago Silva,87,CB,,0,2,3,83,68,74,68,86,86,"183cm | 6'0""",0,-,-,Milan,Brazil
David Silva,87,CAM,,0,4,2,78,80,80,87,51,61,"171cm | 5'7""",0,-,-,Manchester City,Spain
Robin van Persie,86,ST,,0,4,4,79,89,79,84,57,66,"188cm | 6'2""",0,-,-,Arsenal,Netherlands
Carles Puyol Saforcada,86,CB,,0,2,3,59,50,65,56,88,84,"178cm | 5'10""",0,-,-,F.C. Barcelona,Spain
John Terry,86,CB,,0,2,3,61,47,57,49,87,85,"187cm | 6'2""",0,-,-,Chelsea,England
Antonio Di Natale,86,ST,,0,4,4,86,85,81,87,53,60,"170cm | 5'7""",0,-,-,Udinese,Italy
Didier Drogba,86,ST,,0,3,4,74,86,68,80,65,87,"189cm | 6'2""",0,-,-,Chelsea,Ivory Coast
Xabier Alonso Olano,86,CM,,0,2,4,61,78,86,69,80,68,"183cm | 6'0""",0,-,-,Real Madrid Club de Fútbol,Spain
Fernando Torres,86,ST,,0,4,4,86,84,66,83,55,79,"183cm | 6'0""",0,-,-,Chelsea,Spain
Javier Mascherano,86,CB,,0,2,3,68,61,72,70,84,68,"174cm | 5'9""",0,-,-,F.C. Barcelona,Argentina
Dani Alves,86,RB,,0,4,3,93,75,84,83,80,76,"171cm | 5'7""",0,-,-,F.C. Barcelona,Brazil
Mario Gómez,86,ST,,0,3,4,79,79,64,75,60,82,"189cm | 6'2""",0,-,-,Bayern München,Germany
Sergio Agüero,86,ST,,0,4,4,88,81,71,92,52,76,"175cm | 5'9""",0,-,-,Manchester City,Argentina
Samir Nasri,86,CAM,,0,4,4,84,78,82,88,55,62,"177cm | 5'10""",0,-,-,Manchester City,France
Falcao,86,ST,,0,4,4,76,82,70,81,60,88,"176cm | 5'9""",0,-,-,Club Atlético de Madrid S.A.D.,Colombia
Manuel Neuer,86,GK,,0,1,4,91,80,90,88,57,81,"193cm | 6'4""",0,-,-,Bayern München,Germany
Gareth Bale,86,LM,,0,4,4,92,79,82,85,75,70,"183cm | 6'0""",0,-,-,Tottenham Hotspur,Wales
Mesut Özil,86,CAM,,0,4,2,78,74,86,87,49,55,"181cm | 5'11""",0,-,-,Real Madrid Club de Fútbol,Germany
Edinson Cavani,86,ST,,0,3,3,84,83,64,76,68,86,"184cm | 6'0""",0,-,-,Napoli,Uruguay
Alexis Sánchez,86,RW,,0,5,3,91,76,76,89,59,66,"168cm | 5'6""",0,-,-,F.C. Barcelona,Chile
Alessandro Nesta,85,CB,,0,3,3,54,36,58,57,83,78,"187cm | 6'2""",0,-,-,Milan,Italy
Gianluigi Buffon,85,GK,,0,1,2,85,86,65,82,54,86,"191cm | 6'3""",0,-,-,Juventus,Italy
Maarten Stekelenburg,85,GK,,0,1,4,84,86,87,85,44,82,"197cm | 6'6""",0,-,-,Roma,Netherlands
Victor Valdés Arribas,85,GK,,0,1,3,83,81,78,84,60,91,"183cm | 6'0""",0,-,-,F.C. Barcelona,Spain
Lucimar da Silva Ferreira,85,CB,,0,2,4,76,61,61,66,85,83,"188cm | 6'2""",0,-,-,Inter,Brazil
Yaya Touré,85,CM,,0,3,4,77,74,78,79,86,81,"187cm | 6'2""",0,-,-,Manchester City,Ivory Coast
José Antonio Reyes Calderón,85,CF,,0,4,3,88,79,78,87,47,52,"176cm | 5'9""",0,-,-,Club Atlético de Madrid S.A.D.,Spain
Walter Samuel,85,CB,,0,2,2,65,49,58,42,87,83,"183cm | 6'0""",0,-,-,Inter,Argentina
Pepe,85,CB,,0,2,3,75,48,62,60,84,83,"188cm | 6'2""",0,-,-,Real Madrid Club de Fútbol,Portugal
Ashley Cole,85,LB,,0,3,3,83,63,80,79,79,72,"176cm | 5'9""",0,-,-,Chelsea,England
Maicon Douglas Sisenando,85,RB,,0,3,3,87,76,82,80,84,73,"184cm | 6'0""",0,-,-,Inter,Brazil
Esteban Cambiasso,85,CDM,,0,2,4,75,72,80,76,79,78,"177cm | 5'10""",0,-,-,Inter,Argentina
Ricardo Izecson dos Santos Leite,85,CAM,,0,4,4,77,83,80,87,48,50,"186cm | 6'1""",0,-,-,Real Madrid Club de Fútbol,Brazil
Júlio César Soares Espíndola,85,GK,,0,1,3,85,82,75,85,59,84,"186cm | 6'1""",0,-,-,Inter,Brazil
Petr Cech,85,GK,,0,1,3,86,80,76,88,45,86,"196cm | 6'5""",0,-,-,Chelsea,Czech Republic
Nani,85,LM,,0,5,4,87,80,79,87,51,51,"175cm | 5'9""",0,-,-,Manchester United,Portugal
Ashley Young,85,LM,,0,4,3,93,77,76,87,47,48,"175cm | 5'9""",0,-,-,Manchester United,England
Sergio Ramos,85,CB,,0,3,3,82,62,74,77,83,90,"183cm | 6'0""",0,-,-,Real Madrid Club de Fútbol,Spain
Ezequiel Lavezzi,85,LW,,0,5,4,92,76,72,90,59,56,"173cm | 5'8""",0,-,-,Napoli,Argentina
Giuseppe Rossi,85,CF,,0,4,3,83,83,75,84,51,63,"173cm | 5'8""",0,-,-,Villarreal Club de Fútbol S.A.D.,Italy
Gonzalo Higuaín,85,ST,,0,4,4,80,82,71,83,53,74,"184cm | 6'0""",0,-,-,Real Madrid Club de Fútbol,Argentina
Hugo Lloris,85,GK,,0,1,1,87,84,75,88,68,87,"188cm | 6'2""",0,-,-,Olympique Lyonnais,France
Nuri Sahin,85,CM,,0,3,4,60,73,83,82,70,54,"179cm | 5'10""",0,-,-,Real Madrid Club de Fútbol,Turkey
Luis Suárez,85,CF,,0,4,4,80,83,73,85,64,69,"181cm | 5'11""",0,-,-,Liverpool,Uruguay
Juan Mata,85,LW,,0,4,3,85,76,78,87,48,67,"170cm | 5'7""",0,-,-,Chelsea,Spain
Alexandre Pato,85,ST,,0,5,4,87,82,67,85,53,80,"179cm | 5'10""",0,-,-,Milan,Brazil
Eden Hazard,85,LW,,0,4,4,90,78,76,90,53,62,"170cm | 5'7""",0,-,-,LOSC Lille Métropole,Belgium
Hulk,85,RW,,0,4,2,89,85,79,86,68,70,"180cm | 5'11""",0,-,-,FC Porto,Brazil
Pedro,85,LW,,0,4,5,86,76,78,84,53,62,"169cm | 5'7""",0,-,-,F.C. Barcelona,Spain
Ricardo Alberto Silv. de Carvalho,84,CB,,0,2,3,58,46,62,54,81,81,"181cm | 5'11""",0,-,-,Real Madrid Club de Fútbol,Portugal
Danny Miguel Alves Gomes,84,CAM,,0,5,4,83,75,81,86,47,55,"178cm | 5'10""",0,-,-,Zenit St. Petersburg,Portugal
José Reina,84,GK,,0,1,3,85,80,90,86,50,82,"188cm | 6'2""",0,-,-,Liverpool,Spain
Ronaldinho,84,CAM,,0,5,4,63,79,82,89,49,58,"182cm | 6'0""",0,-,-,Flamengo,Brazil
René Adler,84,GK,,0,1,3,88,82,65,86,52,82,"190cm | 6'3""",0,-,-,Bayer 04 Leverkusen,Germany
Florent Malouda,84,LW,,0,4,4,79,79,81,85,59,62,"181cm | 5'11""",0,-,-,Chelsea,France
Michaël Essien,84,CM,,0,3,4,75,78,82,79,85,80,"177cm | 5'10""",0,-,-,Chelsea,Ghana
Robson de Souza,84,CF,,0,5,4,88,78,73,91,44,61,"172cm | 5'8""",0,-,-,Milan,Brazil
Diego Forlán,84,ST,,0,3,5,74,88,80,81,53,72,"180cm | 5'11""",0,-,-,Inter,Uruguay
Giorgio Chiellini,84,CB,,0,2,2,82,58,64,48,86,85,"186cm | 6'1""",0,-,-,Juventus,Italy
Vincent Kompany,84,CB,,0,2,4,73,60,72,71,85,77,"192cm | 6'4""",0,-,-,Manchester City,Belgium
Lisandro López,84,ST,,0,4,4,78,82,74,80,67,77,"174cm | 5'9""",0,-,-,Olympique Lyonnais,Argentina
Jesús Navas,84,RM,,0,4,3,92,75,79,87,47,60,"170cm | 5'7""",0,-,-,Sevilla Fútbol Club S.A.D.,Spain
Santi Cazorla,84,RM,,0,4,5,81,75,81,87,55,63,"168cm | 5'6""",0,-,-,Málaga Club de Fútbol S.A.D.,Spain
Anderson Luis De Carvalho,84,LW,,0,4,3,80,81,83,86,52,67,"181cm | 5'11""",0,-,-,Paris Saint-Germain,Brazil
Diego López,84,GK,,0,1,3,83,86,75,84,51,85,"196cm | 6'5""",0,-,-,Villarreal Club de Fútbol S.A.D.,Spain
Igor Akinfeev,84,GK,,0,1,3,88,80,82,89,56,78,"185cm | 6'1""",0,-,-,CSKA Moskva,Russia
Jefferson Farfán,84,RM,,0,4,3,86,79,80,85,62,64,"178cm | 5'10""",0,-,-,FC Schalke 04,Peru
João Moutinho,84,CM,,0,3,4,77,77,84,83,71,74,"171cm | 5'7""",0,-,-,FC Porto,Portugal
Steve Mandanda,84,GK,,0,1,3,86,83,81,86,53,85,"185cm | 6'1""",0,-,-,Olympique de Marseille,France
Karim Benzema,84,ST,,0,4,4,87,80,65,85,52,72,"184cm | 6'0""",0,-,-,Real Madrid Club de Fútbol,France
Gervais Yao Kouassi,84,RW,,0,4,4,91,76,74,87,61,69,"179cm | 5'10""",0,-,-,Arsenal,Ivory Coast
Marek Hamšik,84,CAM,,0,3,4,76,80,81,77,69,74,"183cm | 6'0""",0,-,-,Napoli,Slovakia
Mats Hummels,84,CB,,0,2,3,65,59,69,62,85,79,"192cm | 6'4""",0,-,-,Borussia Dortmund,Germany
Hernanes,84,CAM,,0,4,5,69,81,82,84,70,65,"180cm | 5'11""",0,-,-,Lazio,Brazil
Edin Džeko,84,ST,,0,3,4,76,82,66,81,58,72,"193cm | 6'4""",0,-,-,Manchester City,Bosnia Herzegovina
Ángel Di María,84,RM,,0,4,2,91,80,77,87,60,68,"178cm | 5'10""",0,-,-,Real Madrid Club de Fútbol,Argentina
Neymar Jr,84,CF,,0,5,4,89,78,75,90,43,59,"173cm | 5'8""",0,-,-,Santos,Brazil
Mario Götze,84,CAM,,0,4,4,83,70,78,86,56,57,"176cm | 5'9""",0,-,-,Borussia Dortmund,Germany
Ryan Giggs,83,LM,,0,3,3,70,78,84,84,57,62,"180cm | 5'11""",0,-,-,Manchester United,Wales
Christian Abbiati,83,GK,,0,1,2,84,82,67,87,50,81,"191cm | 6'3""",0,-,-,Milan,Italy
Morgan De Sanctis,83,GK,,0,1,2,82,82,71,84,40,85,"190cm | 6'3""",0,-,-,Napoli,Italy
Nicolas Anelka,83,ST,,0,3,3,76,81,66,82,55,80,"185cm | 6'1""",0,-,-,Chelsea,France
Antonio Cassano,83,CF,,0,4,4,70,78,84,86,55,54,"175cm | 5'9""",0,-,-,Milan,Italy
Andrea Pirlo,83,CM,,0,3,4,59,74,87,80,64,40,"177cm | 5'10""",0,-,-,Juventus,Italy
Pablo Aimar,83,CAM,,0,4,3,75,73,83,86,49,62,"170cm | 5'7""",0,-,-,Sport Lisboa Benfica,Argentina
Kolo Touré,83,CB,,0,2,3,75,63,59,55,82,82,"183cm | 6'0""",0,-,-,Manchester City,Ivory Coast
Nilmar Honorato da Silva,83,ST,,0,4,4,92,77,64,86,46,68,"180cm | 5'11""",0,-,-,Villarreal Club de Fútbol S.A.D.,Brazil
Alex Rodrigo Dias da Costa,83,CB,,0,2,3,66,69,56,58,84,83,"189cm | 6'2""",0,-,-,Chelsea,Brazil
Diego Ribas da Cunha,83,CAM,,0,4,4,76,76,82,87,58,65,"173cm | 5'8""",0,-,-,Club Atlético de Madrid S.A.D.,Brazil
Luís Fabiano Clemente,83,ST,,0,3,4,74,81,59,78,56,84,"183cm | 6'0""",0,-,-,São Paulo,Brazil
Giampaolo Pazzini,83,ST,,0,3,3,79,75,65,77,53,88,"180cm | 5'11""",0,-,-,Inter,Italy
Michel Fernandes Bastos,83,LM,,0,4,1,86,83,82,83,69,69,"179cm | 5'10""",0,-,-,Olympique Lyonnais,Brazil
Arda Turan,83,LM,,0,4,4,77,67,77,89,51,69,"176cm | 5'9""",0,-,-,Club Atlético de Madrid S.A.D.,Turkey
Andrei Arshavin,83,LW,,0,4,5,82,79,78,87,51,55,"172cm | 5'8""",0,-,-,Arsenal,Russia
Liédson da Silva Muniz,83,ST,,0,4,4,83,78,70,81,56,81,"174cm | 5'9""",0,-,-,Corinthians,Portugal
Lukas Podolski,83,CF,,0,3,2,87,86,66,80,52,66,"182cm | 6'0""",0,-,-,1. FC Köln,Germany
Joe Hart,83,GK,,0,1,3,84,77,74,88,52,80,"196cm | 6'5""",0,-,-,Manchester City,England
Daniel Agger,83,CB,,0,2,3,69,67,66,58,82,78,"191cm | 6'3""",0,-,-,Liverpool,Denmark
Thomas Vermaelen,83,CB,,0,2,3,69,67,70,61,82,88,"183cm | 6'0""",0,-,-,Arsenal,Belgium
Llorente,83,ST,,0,3,3,66,76,57,74,65,81,"195cm | 6'5""",0,-,-,Athletic Club de Bilbao,Spain
Bacary Sagna,83,RB,,0,3,3,81,58,75,77,80,77,"176cm | 5'9""",0,-,-,Arsenal,France
Antonio Valencia,83,RM,,0,4,2,93,72,74,82,54,67,"181cm | 5'11""",0,-,-,Manchester United,Ecuador
Renato Augusto,83,CAM,,0,4,4,78,75,80,85,51,62,"186cm | 6'1""",0,-,-,Bayer 04 Leverkusen,Brazil
Moussa Sow,83,ST,,0,3,4,85,81,69,78,60,79,"180cm | 5'11""",0,-,-,LOSC Lille Métropole,Senegal
Kévin Gameiro,83,ST,,0,3,4,85,80,75,82,54,71,"172cm | 5'8""",0,-,-,Paris Saint-Germain,France
Welliton Soares de Morais,83,ST,,0,4,4,92,81,68,75,56,82,"175cm | 5'9""",0,-,-,Spartak Moskva,Brazil
Branislav Ivanović,83,CB,,0,2,3,69,60,62,58,83,82,"188cm | 6'2""",0,-,-,Chelsea,Serbia
Arturo Vidal,83,CDM,,0,3,4,81,73,81,79,79,71,"180cm | 5'11""",0,-,-,Juventus,Chile
Lucas Barrios,83,ST,,0,3,3,79,77,58,77,60,80,"187cm | 6'2""",0,-,-,Borussia Dortmund,Paraguay
Ganso,83,CAM,,0,5,3,68,73,82,83,58,69,"184cm | 6'0""",0,-,-,Santos,Brazil
Sergio Busquets,83,CDM,,0,3,3,59,58,79,74,80,68,"189cm | 6'2""",0,-,-,F.C. Barcelona,Spain
Thomas Müller,83,RM,,0,3,4,83,80,71,78,57,72,"186cm | 6'1""",0,-,-,Bayern München,Germany
Javier Pastore,83,CAM,,0,4,3,76,76,79,85,55,64,"187cm | 6'2""",0,-,-,Paris Saint-Germain,Argentina
Javier Zanetti,82,CDM,,0,2,4,63,59,80,79,80,57,"178cm | 5'10""",0,-,-,Inter,Argentina
Roman Weidenfeller,82,GK,,0,1,1,84,77,66,85,49,83,"188cm | 6'2""",0,-,-,Borussia Dortmund,Germany
Shay Given,82,GK,,0,1,3,87,74,68,88,40,80,"185cm | 6'1""",0,-,-,Aston Villa,Republic of Ireland
Djibril Cissé,82,ST,,0,4,4,88,80,58,73,58,80,"183cm | 6'0""",0,-,-,Lazio,France
Scott Parker,82,CM,,0,3,3,73,76,81,76,78,74,"175cm | 5'9""",0,-,-,Tottenham Hotspur,England
Yossi Benayoun,82,CAM,,0,3,4,71,73,76,82,55,60,"178cm | 5'10""",0,-,-,Arsenal,Israel
Alexandr Kerzhakov,82,ST,,0,3,3,87,82,74,75,55,75,"176cm | 5'9""",0,-,-,Zenit St. Petersburg,Russia
Mark van Bommel,82,CDM,,0,2,2,52,73,77,68,83,73,"187cm | 6'2""",0,-,-,Milan,Netherlands
Michael Carrick,82,CM,,0,2,4,64,72,83,73,78,73,"185cm | 6'1""",0,-,-,Manchester United,England
Carlos Idriss Kameni,82,GK,,0,1,3,87,79,66,92,44,75,"186cm | 6'1""",0,-,-,R.C.D. Espanyol de Barcelona S.A.D.,Cameroon
Claudio Pizarro,82,ST,,0,3,4,70,80,58,77,57,80,"186cm | 6'1""",0,-,-,Werder Bremen,Peru
Dimitar Berbatov,82,ST,,0,4,3,68,80,79,81,49,81,"189cm | 6'2""",0,-,-,Manchester United,Bulgaria
Simon Rolfes,82,CDM,,0,2,3,64,65,78,69,79,74,"191cm | 6'3""",0,-,-,Bayer 04 Leverkusen,Germany
Ji Sung Park,82,RM,,0,3,3,79,70,74,84,53,57,"175cm | 5'9""",0,-,-,Manchester United,Korea Republic
Mikel Arteta Amatriain,82,CM,,0,4,4,66,81,85,84,67,69,"175cm | 5'9""",0,-,-,Arsenal,Spain
Helton da Silva Arruda,82,GK,,0,1,4,82,80,75,83,45,81,"189cm | 6'2""",0,-,-,FC Porto,Brazil
Lucho González,82,CM,,0,3,4,73,79,84,78,72,75,"185cm | 6'1""",0,-,-,Olympique de Marseille,Argentina
Walter Montillo,82,CAM,,0,4,4,82,76,80,86,53,59,"171cm | 5'7""",0,-,-,Cruzeiro,Argentina
Negredo,82,ST,,0,3,3,67,82,60,77,60,81,"186cm | 6'1""",0,-,-,Sevilla Fútbol Club S.A.D.,Spain
Soldado,82,ST,,0,3,3,75,81,60,77,62,80,"179cm | 5'10""",0,-,-,Valencia Club de Fútbol S.A.D.,Spain
Raúl José Trindade Meireles,82,CM,,0,3,4,69,80,81,79,73,71,"179cm | 5'10""",0,-,-,Chelsea,Portugal
Luisão,82,CB,,0,2,2,37,59,65,60,84,74,"192cm | 6'4""",0,-,-,Sport Lisboa Benfica,Brazil
Klaas-Jan Huntelaar,82,ST,,0,3,4,70,82,58,70,55,76,"186cm | 6'1""",0,-,-,FC Schalke 04,Netherlands
Aaron Lennon,82,RM,,0,4,3,95,62,68,86,48,46,"165cm | 5'5""",0,-,-,Tottenham Hotspur,England
Raúl Albiol,82,CB,,0,2,3,56,54,66,58,81,80,"190cm | 6'3""",0,-,-,Real Madrid Club de Fútbol,Spain
Alexandre Song,82,CDM,,0,2,3,72,57,72,76,84,74,"184cm | 6'0""",0,-,-,Arsenal,Cameroon
Ibrahim Afellay,82,LW,,0,4,4,90,77,76,85,57,59,"180cm | 5'11""",0,-,-,F.C. Barcelona,Netherlands
Miloš Krasić,82,RM,,0,4,4,90,78,74,81,61,61,"185cm | 6'1""",0,-,-,Juventus,Serbia
Lassana Diarra,82,CDM,,0,2,3,76,55,70,72,82,66,"172cm | 5'8""",0,-,-,Real Madrid Club de Fútbol,France
Mbark Boussoufa,82,LM,,0,5,5,77,74,78,86,46,53,"167cm | 5'6""",0,-,-,Anzhi Makhachkala,Morocco
Theo Walcott,82,RW,,0,4,3,96,71,68,85,53,56,"175cm | 5'9""",0,-,-,Arsenal,England
Stéphane M'Bia,82,CDM,,0,2,3,76,60,72,57,83,84,"189cm | 6'2""",0,-,-,Olympique de Marseille,Cameroon
Adam Johnson,82,LW,,0,4,4,87,75,76,85,56,51,"175cm | 5'9""",0,-,-,Manchester City,England
Fábio Coentrão,82,LB,,0,3,2,84,73,78,81,76,73,"179cm | 5'10""",0,-,-,Real Madrid Club de Fútbol,Portugal
Kevin-Prince Boateng,82,CAM,,0,3,4,80,76,81,82,78,82,"185cm | 6'1""",0,-,-,Milan,Ghana
Marcelo,82,LB,,0,3,3,86,70,80,82,78,72,"172cm | 5'8""",0,-,-,Real Madrid Club de Fútbol,Brazil
Bryan Ruíz,82,RW,,0,4,4,71,77,75,86,58,69,"188cm | 6'2""",0,-,-,Fulham,Costa Rica
Javi Martinez,82,CDM,,0,3,3,58,66,74,71,83,77,"190cm | 6'3""",0,-,-,Athletic Club de Bilbao,Spain
Javier Hernández,82,ST,,0,3,4,92,75,61,74,50,80,"175cm | 5'9""",0,-,-,Manchester United,Mexico
Loïc Rémy,82,ST,,0,4,3,91,76,69,80,55,80,"184cm | 6'0""",0,-,-,Olympique de Marseille,France
David Luiz,82,CB,,0,2,4,79,64,70,66,82,79,"189cm | 6'2""",0,-,-,Chelsea,Brazil
Neven Subotic,82,CB,,0,2,3,72,63,65,53,81,82,"193cm | 6'4""",0,-,-,Borussia Dortmund,Serbia
Bruno,82,CDM,,0,3,3,66,59,76,76,79,67,"179cm | 5'10""",0,-,-,Villarreal Club de Fútbol S.A.D.,Spain
Seydou Doumbia,82,ST,,0,4,4,94,77,54,85,56,76,"178cm | 5'10""",0,-,-,CSKA Moskva,Ivory Coast
Shinji Kagawa,82,CAM,,0,4,4,86,72,71,87,45,54,"172cm | 5'8""",0,-,-,Borussia Dortmund,Japan
Jack Wilshere,82,CM,,0,4,3,77,69,82,84,72,63,"173cm | 5'8""",0,-,-,Arsenal,England
Lucas,82,CAM,,0,4,3,90,75,76,89,54,58,"172cm | 5'8""",0,-,-,São Paulo,Brazil
Mark Schwarzer,81,GK,,0,1,3,78,81,75,82,50,82,"194cm | 6'4""",0,-,-,Fulham,Australia
Marco Di Vaio,81,ST,,0,3,4,79,78,65,77,58,73,"179cm | 5'10""",0,-,-,Bologna,Italy
Javier Saviola,81,CF,,0,3,3,86,76,70,86,42,68,"169cm | 5'7""",0,-,-,Sport Lisboa Benfica,Argentina
Michael Ballack,81,CM,,0,3,4,62,80,80,73,79,86,"189cm | 6'2""",0,-,-,Bayer 04 Leverkusen,Germany
Alberto Gilardino,81,ST,,0,2,3,76,73,52,72,57,84,"184cm | 6'0""",0,-,-,Fiorentina,Italy
William Gallas,81,CB,,0,2,3,63,50,56,56,80,85,"181cm | 5'11""",0,-,-,Tottenham Hotspur,France
Gareth Barry,81,CDM,,0,2,3,54,74,81,75,78,75,"183cm | 6'0""",0,-,-,Manchester City,England
Landon Donovan,81,RM,,0,3,4,87,77,78,80,60,65,"173cm | 5'8""",0,-,-,Los Angeles Galaxy,United States
Tomáš Rosický,81,CAM,,0,4,4,68,75,81,84,50,52,"179cm | 5'10""",0,-,-,Arsenal,Czech Republic
Miroslav Klose,81,ST,,0,3,4,75,74,62,74,57,88,"184cm | 6'0""",0,-,-,Lazio,Germany
Brad Friedel,81,GK,,0,1,2,77,83,80,82,45,84,"188cm | 6'2""",0,-,-,Tottenham Hotspur,United States
Zvjezdan Misimović,81,CAM,,0,3,4,62,78,82,80,51,59,"180cm | 5'11""",0,-,-,Dinamo Moskva,Bosnia Herzegovina
Alberto Aquilani,81,CM,,0,3,4,65,75,84,81,67,62,"186cm | 6'1""",0,-,-,Milan,Italy
Tim Howard,81,GK,,0,1,3,81,80,73,84,50,80,"191cm | 6'3""",0,-,-,Everton,United States
Mirko Vučinić,81,LW,,0,3,4,82,80,70,84,60,71,"186cm | 6'1""",0,-,-,Juventus,Montenegro
Jaroslav Plašil,81,CM,,0,3,5,74,76,83,80,66,61,"182cm | 6'0""",0,-,-,Girondins de Bordeaux,Czech Republic
Jérémy Toulalan,81,CDM,,0,2,3,64,53,79,70,79,72,"183cm | 6'0""",0,-,-,Málaga Club de Fútbol S.A.D.,France
Iraizoz,81,GK,,0,1,3,77,86,75,82,57,84,"191cm | 6'3""",0,-,-,Athletic Club de Bilbao,Spain
Philippe Mexès,81,CB,,0,2,3,69,50,62,58,81,83,"187cm | 6'2""",0,-,-,Milan,France
Marouane Chamakh,81,ST,,0,3,3,78,77,72,78,66,83,"188cm | 6'2""",0,-,-,Arsenal,Morocco
Joaquín,81,RM,,0,4,3,77,75,79,87,48,50,"179cm | 5'10""",0,-,-,Málaga Club de Fútbol S.A.D.,Spain
Mladen Petrić,81,ST,,0,3,4,66,84,70,77,54,78,"184cm | 6'0""",0,-,-,Hamburger SV,Croatia
Fábio Deivson Lopes Maciel,81,GK,,0,1,3,78,81,72,85,73,83,"188cm | 6'2""",0,-,-,Cruzeiro,Brazil
Raúl González Blanco,81,CF,,0,3,4,63,76,69,82,54,71,"180cm | 5'11""",0,-,-,FC Schalke 04,Spain
Anthony Réveillère,81,RB,,0,2,4,77,60,76,69,80,70,"180cm | 5'11""",0,-,-,Olympique Lyonnais,France
Brede Hangeland,81,CB,,0,2,3,60,53,58,46,86,66,"195cm | 6'5""",0,-,-,Fulham,Norway
Vágner Love,81,ST,,0,4,4,89,75,58,83,54,76,"173cm | 5'8""",0,-,-,CSKA Moskva,Brazil
Bruno Alves,81,CB,,0,2,3,69,66,60,62,80,89,"189cm | 6'2""",0,-,-,Zenit St. Petersburg,Portugal
James Milner,81,CM,,0,3,4,78,79,84,81,73,67,"176cm | 5'9""",0,-,-,Manchester City,England
Diego Lugano,81,CB,,0,2,2,53,47,46,30,83,85,"188cm | 6'2""",0,-,-,Paris Saint-Germain,Uruguay
Andrés D'Alessandro,81,CAM,,0,4,3,71,76,81,86,54,51,"174cm | 5'9""",0,-,-,I. Porto Alegre,Argentina
Kevin Kuranyi,81,ST,,0,2,2,80,75,62,70,63,81,"190cm | 6'3""",0,-,-,Dinamo Moskva,Germany
Darren Fletcher,81,CM,,0,2,3,77,67,82,73,82,81,"184cm | 6'0""",0,-,-,Manchester United,Scotland
Thiago Motta,81,CDM,,0,3,4,50,71,78,71,80,82,"187cm | 6'2""",0,-,-,Inter,Italy
