Name,Ratings,Position,Version,PS,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS,Club,League,Country
Ibrahimovic,95,ST,TOTGS,335K,4,4,M \ L,77,96,92,93,47,95,"195cm | 6'4""",31,500,2297,Manchester Utd,Premier League,Sweden
Higuaín,95,ST,CMOTM,151K,3,4,H \ M,86,97,85,94,43,90,"184cm | 6'0""",16,495,2231,Juventus,Calcio A,Argentina
Cavani,95,ST,AW,0,3,3,H \ M,87,99,93,96,67,96,"184cm | 6'0""",87,538,2479,PSG,Ligue 1,Uruguay
De Gea,95,GK,TOTS,357K,1,3,M \ M,95,91,93,96,63,93,"193cm | 6'3""",16,531,959,Manchester Utd,Premier League,Spain
De Bruyne,95,CM,TOTS,680K,4,4,H \ M,84,95,97,96,55,90,"181cm | 5'11""",30,517,2396,Manchester City,Premier League,Belgium
Sánchez,95,ST,TOTS,649K,4,3,H \ H,93,97,93,98,50,92,"169cm | 5'6""",64,523,2436,Arsenal,Premier League,Chile
Aubameyang,95,ST,TOTS,595K,3,4,H \ L,99,97,92,94,52,90,"187cm | 6'1""",38,524,2411,Bor. Dortmund,Bundesliga,Gabon
Thiago,95,CM,TOTS,564K,5,3,M \ M,84,95,98,99,81,86,"174cm | 5'8""",30,543,2557,FC Bayern,Bundesliga,Spain
Robben,95,RM,TOTS,313K,4,2,H \ L,94,96,95,98,51,83,"180cm | 5'10""",40,517,2405,FC Bayern,Bundesliga,Netherlands
Cavani,95,ST,TOTS,314K,3,3,H \ M,87,99,93,96,67,96,"184cm | 6'0""",15,538,2479,PSG,Ligue 1,Uruguay
Lacazette,95,ST,TOTS,577K,4,4,H \ H,96,97,94,98,53,94,"175cm | 5'8""",63,532,2466,Olympique Lyon,Ligue 1,France
Thiago Silva,95,CB,TOTS,248K,3,3,H \ H,80,70,85,86,98,90,"183cm | 6'0""",6,509,2401,PSG,Ligue 1,Brazil
Sergio Ramos,95,CB,TOTS,450K,3,3,H \ M,84,76,84,86,95,95,"183cm | 6'0""",6,520,2420,Real Madrid,LaLiga Santander ,Spain
Griezmann,95,ST,TOTS,750K,4,3,H \ M,93,95,92,96,45,82,"176cm | 5'9""",30,503,2352,Atlético Madrid,LaLiga Santander ,France
Mertens,95,ST,TOTS,343K,4,4,H \ L,99,98,97,98,60,80,"169cm | 5'6""",69,532,2462,Napoli,Calcio A,Belgium
Buffon,95,GK,TOTS,186K,1,2,M \ M,96,97,80,95,62,98,"192cm | 6'3""",19,528,934,Juventus,Calcio A,Italy
Dybala,95,ST,TOTS,1.35M,4,3,M \ M,97,98,97,99,45,88,"176cm | 5'9""",43,524,2409,Juventus,Calcio A,Argentina
Lahm,95,RB,Premium SBC,0,3,3,M \ H,89,74,97,98,98,85,"170cm | 5'6""",97,541,2522,FC Bayern,Bundesliga,Germany
Cristiano Ronaldo,94,LW,Normal,535K,5,4,H \ L,92,92,81,91,33,80,"185cm | 6'0""",390,469,2166,Real Madrid,LaLiga Santander ,Portugal
Messi,94,RW,TOTGS,1.06M,4,4,M \ M,90,92,88,97,30,65,"170cm | 5'6""",51,462,2155,FC Barcelona,LaLiga Santander ,Argentina
Neymar,94,LW,TOTGS,455K,5,5,H \ M,93,89,87,97,35,64,"174cm | 5'8""",26,465,2168,FC Barcelona,LaLiga Santander ,Brazil
Suárez,94,ST,SBC,0,4,4,H \ M,84,94,84,91,46,84,"182cm | 5'11""",114,483,2237,FC Barcelona,LaLiga Santander ,Uruguay
Suárez,94,ST,SIF,755K,4,4,H \ M,84,93,85,91,48,84,"182cm | 5'11""",14,485,2248,FC Barcelona,LaLiga Santander ,Uruguay
Ibrahimovic,94,ST,MOTM,357K,4,4,M \ L,76,95,91,92,45,94,"195cm | 6'4""",36,493,2270,Manchester Utd,Premier League,Sweden
Lewandowski,94,ST,TIF,235K,3,4,M \ M,85,93,85,92,47,91,"185cm | 6'0""",41,493,2269,FC Bayern,Bundesliga,Poland
Higuaín,94,ST,MOTM,126K,3,4,H \ M,85,96,82,93,40,88,"184cm | 6'0""",21,484,2189,Juventus,Calcio A,Argentina
Hazard,94,LW,FIF,331K,4,4,H \ M,94,92,92,97,45,78,"173cm | 5'8""",54,498,2302,Chelsea,Premier League,Belgium
Lukaku,94,ST,TOTS,350K,3,4,M \ M,92,99,90,94,55,97,"190cm | 6'2""",113,527,2352,Everton,Premier League,Belgium
Kane,94,ST,TOTS,114K,3,3,H \ H,85,98,94,95,62,96,"188cm | 6'2""",72,530,2424,Spurs,Premier League,England
Lloris,94,GK,TOTS,130K,1,1,M \ M,94,95,76,96,77,92,"188cm | 6'2""",19,530,884,Spurs,Premier League,France
Diego Costa,94,ST,TOTS,192K,3,4,H \ M,85,98,89,95,56,98,"188cm | 6'2""",14,521,2326,Chelsea,Premier League,Spain
Hummels,94,CB,TOTS,291K,2,3,H \ M,71,70,90,88,97,93,"191cm | 6'3""",14,509,2334,FC Bayern,Bundesliga,Germany
Lahm,94,RB,TOTS,137K,3,3,M \ H,75,70,95,96,94,80,"170cm | 5'6""",10,510,2426,FC Bayern,Bundesliga,Germany
Verratti,94,CM,TOTS,135K,4,4,H \ H,78,80,96,98,93,86,"165cm | 5'4""",15,531,2482,PSG,Ligue 1,Italy
Kroos,94,CM,TOTS,119K,3,5,M \ M,51,88,97,86,78,79,"182cm | 5'11""",10,479,2261,Real Madrid,LaLiga Santander ,Germany
Oblak,94,GK,TOTS,96K,1,3,M \ M,95,96,90,95,55,95,"186cm | 6'1""",12,526,906,Atlético Madrid,LaLiga Santander ,Slovenia
Nainggolan,94,CAM,TOTS,910K,3,3,H \ H,90,94,95,96,94,95,"176cm | 5'9""",261,564,2588,Roma,Calcio A,Belgium
Hamšik,94,CM,TOTS,165K,3,4,H \ M,84,95,96,97,85,92,"183cm | 6'0""",30,549,2532,Napoli,Calcio A,Slovakia
Icardi,94,ST,TOTS,156K,2,4,M \ L,90,98,85,96,40,90,"181cm | 5'11""",34,499,2252,Inter,Calcio A,Argentina
Insigne,94,LW,TOTS,190K,4,3,H \ M,99,93,95,98,45,80,"163cm | 5'4""",21,510,2343,Napoli,Calcio A,Italy
Xabi Alonso,94,CDM,Premium SBC,0,2,4,L \ M,78,90,98,91,94,88,"183cm | 6'0""",64,539,2495,FC Bayern,Bundesliga,Spain
Lampard,94,CM,Premium SBC,0,3,4,M \ M,80,96,93,88,78,90,184,25,0,2456,NY City FC,MLS,England
Gerrard,94,CM,Premium SBC,0,3,3,M \ M,84,94,98,85,84,92,"183cm | 6'0""",57,537,2504,LA Galaxy,MLS,England
Messi,93,RW,Normal,320K,4,4,M \ M,89,90,86,96,26,61,"170cm | 5'6""",384,448,2099,FC Barcelona,LaLiga Santander ,Argentina
Beckenbauer,93,CB,Legend,0,3,3,H \ M,82,69,83,79,94,81,"181cm | 5'11""",43,488,2256,Legends,Legends,Germany
Higuaín,93,ST,OTW,75K,3,4,H \ M,84,95,79,92,38,86,"184cm | 6'0""",104,474,2150,Juventus,Calcio A,Argentina
Neymar,93,LM,IF,387K,5,5,H \ M,92,87,82,96,32,60,"174cm | 5'8""",36,449,2084,FC Barcelona,LaLiga Santander ,Brazil
Suárez,93,ST,IF,499K,4,4,H \ M,83,92,83,90,46,82,"182cm | 5'11""",9,476,2205,FC Barcelona,LaLiga Santander ,Uruguay
Dani Alves,93,RB,TOTY,333K,3,3,H \ L,95,84,90,93,89,82,"172cm | 5'7""",45,533,2482,Juventus,Calcio A,Brazil
Marcelo,93,LB,TOTY,449K,4,4,H \ M,90,80,94,94,92,90,"174cm | 5'8""",43,540,2450,Real Madrid,LaLiga Santander ,Brazil
Lewandowski,93,ST,SIF,200K,3,4,M \ M,84,92,83,91,45,89,"185cm | 6'0""",34,484,2230,FC Bayern,Bundesliga,Poland
Hazard,93,LW,TIF,265K,4,4,H \ M,93,91,91,96,42,75,"173cm | 5'8""",38,488,2255,Chelsea,Premier League,Belgium
Higuaín,93,ST,FIF,65K,3,4,H \ M,84,95,79,92,38,86,"184cm | 6'0""",26,474,2150,Juventus,Calcio A,Argentina
Ibrahimovic,93,ST,CMOTM,225K,4,4,M \ L,75,94,89,91,43,93,"195cm | 6'4""",15,485,2235,Manchester Utd,Premier League,Sweden
Eriksen,93,CAM,TOTS,316K,4,5,H \ M,85,93,98,97,60,83,"177cm | 5'9""",89,516,2367,Spurs,Premier League,Denmark
Thauvin,93,RW,TOTS,224K,4,3,H \ M,92,96,96,97,60,90,"179cm | 5'10""",44,531,2412,Marseille,Ligue 1,France
Jonas,93,ST,TOTS,70K,3,5,H \ M,81,95,92,96,52,84,"181cm | 5'11""",25,500,2349,SL Benfica,LIGA NOS,Brazil
Carrasco,93,LM,TOTS,213K,4,4,H \ M,98,94,93,96,45,80,"180cm | 5'10""",31,506,2337,Atlético Madrid,LaLiga Santander ,Belgium
Filipe Luís,93,LB,TOTS,165K,3,3,H \ M,88,80,95,90,95,93,"182cm | 5'11""",18,541,2480,Atlético Madrid,LaLiga Santander ,Brazil
Casemiro,93,CDM,TOTS,487K,2,3,M \ M,72,91,96,93,95,96,"184cm | 6'0""",14,543,2503,Real Madrid,LaLiga Santander ,Brazil
Koulibaly,93,CB,TOTS,190K,2,2,H \ H,85,50,73,87,98,97,"195cm | 6'4""",24,490,2122,Napoli,Calcio A,Senegal
Džeko,93,ST,TOTS,53K,2,4,M \ M,77,96,90,93,50,92,"193cm | 6'3""",39,498,2246,Roma,Calcio A,Bosnia Herzegovina
Immobile,93,ST,TOTS,134K,3,3,H \ M,92,97,85,96,57,93,"184cm | 6'0""",44,520,2387,Lazio,Calcio A,Italy
Pogba,93,CDM,FIF,0,5,4,H \ M,82,91,95,96,84,94,191,27,0,2511,Manchester Utd,Premier League,France
Agüero,93,ST,TIF,739K,4,4,H \ M,93,96,86,94,35,83,172,5,0,2261,Manchester City,Premier League,Argentina
De Bruyne,93,CM,FIF,338K,4,4,H \ M,82,93,95,93,52,87,181,2,0,2332,Manchester City,Premier League,Belgium
Maldini,92,LB,Legend,0,2,4,M \ H,86,56,74,67,95,80,"187cm | 6'1""",9,458,2002,Legends,Legends,Italy
Baresi,92,CB,Legend,0,2,3,M \ M,76,39,73,70,94,82,"176cm | 5'9""",14,434,2002,Legends,Legends,Italy
Neuer,92,GK,Normal,48K,1,4,M \ M,89,90,95,89,58,91,"193cm | 6'3""",65,512,1037,FC Bayern,Bundesliga,Germany
Suárez,92,ST,Normal,101K,4,4,H \ M,82,90,79,87,42,79,"182cm | 5'11""",115,459,2134,FC Barcelona,LaLiga Santander ,Uruguay
Neymar,92,LW,Normal,140K,5,5,H \ M,91,84,78,95,30,56,"174cm | 5'8""",234,434,2018,FC Barcelona,LaLiga Santander ,Brazil
Pogba,92,CM,OTW,750K,5,4,H \ M,81,89,93,94,82,93,"191cm | 6'3""",73,511,2464,Manchester Utd,Premier League,France
Lewandowski,92,ST,TOTGS,142K,3,4,M \ M,83,91,80,89,43,86,"185cm | 6'0""",16,472,2174,FC Bayern,Bundesliga,Poland
Hazard,92,ST,SIF,285K,4,4,H \ M,92,90,90,95,40,72,"173cm | 5'8""",84,479,2215,Chelsea,Premier League,Belgium
Higuaín,92,ST,TIF,55K,3,4,H \ M,83,94,76,91,34,84,"184cm | 6'0""",39,462,2101,Juventus,Calcio A,Argentina
Ibrahimovic,92,ST,AW,0,4,4,M \ L,74,93,87,90,40,92,"195cm | 6'4""",62,476,2198,Manchester Utd,Premier League,Sweden
Sergio Ramos,92,CB,CMOTM,350K,3,3,H \ M,81,75,80,82,93,91,"183cm | 6'0""",4,502,2345,Real Madrid,LaLiga Santander ,Spain
Lewandowski,92,ST,SBC,0,3,4,M \ M,83,90,81,88,43,88,"185cm | 6'0""",51,473,2176,FC Bayern,Bundesliga,Poland
Kanté,92,CM,AW,0,3,3,M \ H,90,85,91,92,92,94,"169cm | 5'6""",108,544,2440,Chelsea,Premier League,France
De Bruyne,92,CM,FIF,280K,4,4,H \ M,81,91,93,91,50,85,"181cm | 5'11""",25,491,2279,Manchester City,Premier League,Belgium
Kanté,92,CM,TOTS,380K,3,3,M \ H,90,85,91,92,92,94,"169cm | 5'6""",68,544,2440,Chelsea,Premier League,France
David Luiz,92,CB,TOTS,545K,3,3,H \ M,85,80,87,88,95,92,"189cm | 6'2""",44,527,2459,Chelsea,Premier League,Brazil
Agüero,92,ST,SIF,475K,4,4,H \ M,92,94,83,93,32,81,"172cm | 5'7""",17,475,2202,Manchester City,Premier League,Argentina
Pogba,92,CM,TIF,921K,5,4,H \ M,81,89,93,94,82,93,"191cm | 6'3""",34,532,2464,Manchester Utd,Premier League,France
Keïta,92,CM,TOTS,127K,3,3,H \ M,92,91,94,95,86,92,"172cm | 5'7""",64,550,2429,RB Leipzig,Bundesliga,Guinea
Falcao,92,ST,TOTS,56.5K,3,4,H \ M,81,95,85,93,52,90,"177cm | 5'9""",37,496,2349,AS Monaco,Ligue 1,Colombia
Bernardo Silva,92,RM,TOTS,64.5K,4,3,M \ M,89,89,95,96,58,78,"173cm | 5'8""",24,505,2322,AS Monaco,Ligue 1,Portugal
Dost,92,ST,TOTS,51K,2,3,M \ L,72,98,78,88,70,96,"196cm | 6'5""",40,502,2186,Sporting CP,LIGA NOS,Netherlands
Piqué,92,CB,TOTS,100K,2,3,H \ M,70,70,80,73,92,84,"193cm | 6'3""",10,469,2122,FC Barcelona,LaLiga Santander ,Spain
Iago Aspas,92,ST,TOTS,116K,3,3,H \ H,90,95,89,95,45,82,"176cm | 5'9""",19,496,2332,Celta Vigo,LaLiga Santander ,Spain
Marcelo,92,LB,TOTS,176K,4,4,H \ M,85,78,92,92,90,89,"174cm | 5'8""",9,526,2395,Real Madrid,LaLiga Santander ,Brazil
Alex Sandro,92,LB,TOTS,312K,3,3,H \ H,95,80,93,94,92,91,"180cm | 5'10""",16,545,2485,Juventus,Calcio A,Brazil
Gómez,92,ST,TOTS,195K,4,4,H \ M,99,92,94,97,50,81,"165cm | 5'4""",40,513,2373,Atalanta,Calcio A,Argentina
David Villa,92,ST,TOTS,89K,4,5,H \ L,84,95,88,92,45,82,175,15,0,2312,NY City FC,MLS,Spain
Neymar,92,LW,Normal,271K,5,5,H \ M,91,84,78,95,30,56,"174cm | 5'8""",-9,434,2018,PSG,Ligue 1,Brazil
Matthäus,91,CDM,Legend,0,3,4,H \ H,86,86,86,77,88,82,"174cm | 5'8""",15,505,2364,Legends,Legends,Germany
van Basten,91,ST,Legend,0,3,3,M \ M,83,94,73,81,34,70,"188cm | 6'2""",11,435,2040,Legends,Legends,Netherlands
Lewandowski,91,ST,IF,115K,3,4,M \ M,82,89,76,87,40,84,"185cm | 6'0""",22,458,2102,FC Bayern,Bundesliga,Poland
Ibrahimovic,91,ST,Movember,115K,4,4,M \ L,72,90,81,85,31,91,"195cm | 6'4""",18,450,2072,Manchester Utd,Premier League,Sweden
Bale,91,RW,IF,828K,4,3,H \ M,95,89,87,88,60,78,"183cm | 6'0""",11,497,2258,Real Madrid,LaLiga Santander ,Wales
Hazard,91,LW,AW,0,4,4,H \ M,91,87,88,94,36,69,"173cm | 5'8""",64,465,2145,Chelsea,Premier League,Belgium
Sánchez,91,ST,TIF,300K,4,3,H \ H,89,92,87,92,43,87,"169cm | 5'6""",55,490,2288,Arsenal,Premier League,Chile
Higuaín,91,ST,SIF,45.75K,3,4,H \ M,82,93,73,89,30,81,"184cm | 6'0""",13,448,2044,Juventus,Calcio A,Argentina
Ibrahimovic,91,ST,IF,199K,4,4,M \ L,73,92,84,88,35,90,"195cm | 6'4""",25,462,2126,Manchester Utd,Premier League,Sweden
Sergio Ramos,91,CB,SIF,300K,3,3,H \ M,80,72,78,80,92,90,"183cm | 6'0""",15,492,2293,Real Madrid,LaLiga Santander ,Spain
Agüero,91,ST,CMOTM,361K,4,4,H \ M,91,92,80,92,30,78,"172cm | 5'7""",26,463,2143,Manchester City,Premier League,Argentina
Higuaín,91,ST,SBC,0,3,4,H \ M,82,93,73,88,29,80,"184cm | 6'0""",15,445,2028,Juventus,Calcio A,Argentina
Kane,91,ST,AW,0,3,3,H \ H,80,95,89,91,57,92,"188cm | 6'2""",85,504,2321,Spurs,Premier League,England
Godín,91,CB,SIF,102K,2,3,M \ H,68,60,77,74,93,89,"185cm | 6'0""",1,461,2140,Atlético Madrid,LaLiga Santander ,Uruguay
Fernando Torres,91,ST,Premium SBC,0,3,4,M \ M,92,92,84,92,45,86,"186cm | 6'1""",53,491,2219,Atlético Madrid,LaLiga Santander ,Spain
Cavani,91,ST,FIF,74K,3,3,H \ M,83,94,89,91,60,91,"184cm | 6'0""",48,508,2372,PSG,Ligue 1,Uruguay
Özil,91,CAM,IF,95K,4,2,M \ L,74,85,91,91,30,70,"183cm | 6'0""",7,441,2079,Arsenal,Premier League,Germany
De Bruyne,91,RM,TIF,125K,4,4,H \ M,80,89,92,90,48,83,"181cm | 5'11""",18,482,2235,Manchester City,Premier League,Belgium
Dybala,91,ST,TOTGS,249K,4,3,M \ M,93,93,90,96,38,82,"176cm | 5'9""",67,492,2293,Juventus,Calcio A,Argentina
Alli,91,CAM,AW,0,3,3,H \ M,88,93,90,94,75,90,"188cm | 6'2""",41,530,2368,Spurs,Premier League,England
Di María,91,RW,MOTM,160K,5,2,H \ M,91,89,92,93,60,85,"180cm | 5'10""",9,510,2359,PSG,Ligue 1,Argentina
Pogba,91,CM,CMOTM,659K,5,4,H \ M,80,87,91,92,80,92,"191cm | 6'3""",8,522,2417,Manchester Utd,Premier League,France
Vertonghen,91,CB,TOTS,56K,2,3,H \ M,72,75,80,80,93,91,"189cm | 6'2""",62,491,2268,Spurs,Premier League,Belgium
Isco,91,CAM,CMOTM,183K,4,3,H \ M,79,92,93,94,60,83,"176cm | 5'9""",29,501,2358,Real Madrid,LaLiga Santander ,Spain
Robben,91,RM,FIF,194K,4,2,H \ L,90,92,91,94,46,76,"180cm | 5'10""",25,489,2275,FC Bayern,Bundesliga,Netherlands
Mané,91,RW,TOTS,295K,4,3,H \ M,99,93,92,96,48,91,"175cm | 5'8""",63,519,2355,Liverpool,Premier League,Senegal
Alli,91,CAM,TOTS,171K,3,3,H \ M,88,93,90,94,75,90,"188cm | 6'2""",55,530,2368,Spurs,Premier League,England
Azpilicueta,91,CB,TOTS,148K,3,3,M \ M,86,68,89,87,94,91,"178cm | 5'10""",49,515,2363,Chelsea,Premier League,Spain
Alderweireld,91,CB,TOTS,125K,2,3,M \ M,72,68,82,78,94,89,"186cm | 6'1""",21,483,2238,Spurs,Premier League,Belgium
Dembélé,91,RM,TOTS,494K,5,5,H \ M,99,92,96,96,60,78,"178cm | 5'10""",129,521,2351,Bor. Dortmund,Bundesliga,France
Piszczek,91,RB,TOTS,107K,2,3,M \ M,88,85,92,90,91,92,"184cm | 6'0""",40,538,2465,Bor. Dortmund,Bundesliga,Poland
Modeste,91,ST,TOTS,69K,3,3,M \ M,86,97,86,92,50,94,"187cm | 6'1""",55,505,2293,1. FC Köln,Bundesliga,France
Stindl,91,CF,TOTS,53K,3,4,M \ M,80,96,94,95,82,89,"181cm | 5'11""",69,536,2497,Bor. M'gladbach,Bundesliga,Germany
Lemar,91,LM,TOTS,124K,3,2,H \ M,93,93,94,95,80,87,"170cm | 5'6""",22,542,2508,AS Monaco,Ligue 1,France
Glik,91,CB,TOTS,44.25K,2,2,L \ M,69,40,60,65,94,92,"190cm | 6'2""",11,420,1890,AS Monaco,Ligue 1,Poland
Subašic,91,GK,TOTS,50K,1,2,M \ M,92,90,88,93,62,93,"191cm | 6'3""",12,518,908,AS Monaco,Ligue 1,Croatia
Perrin,91,CB,TOTS,74K,2,3,M \ M,79,82,87,86,94,93,"181cm | 5'11""",16,521,2399,Saint-Etienne,Ligue 1,France
Gignac,91,ST,TOTS,40K,3,3,M \ M,82,96,87,86,52,90,"187cm | 6'1""",6,493,2285,Tigres,LIGA Bancomer MX,France
N'Zonzi,91,CDM,TOTS,60K,3,3,M \ M,67,82,91,88,92,95,"190cm | 6'2""",18,515,2306,Sevilla FC,LaLiga Santander ,France
Promes,91,RM,TOTS,65K,4,4,H \ L,98,93,90,94,40,83,"174cm | 5'8""",32,498,2298,Spartak Moskva,Russian League,Netherlands
Giuliano,91,CAM,TOTS,80K,5,3,M \ M,90,93,92,94,57,85,"172cm | 5'7""",29,511,2334,Zenit,Russian League,Brazil
Vidal,91,CM,IMOTM,579K,3,4,H \ H,81,93,92,92,93,92,"180cm | 5'10""",15,543,2545,FC Bayern,Bundesliga,Chile
Giovinco,91,CF,TOTS,115K,4,4,H \ M,95,90,89,95,35,70,164,25,0,2204,Toronto FC,MLS,Italy
Del Piero,90,CF,Legend,0,4,5,M \ L,85,89,85,92,42,69,"174cm | 5'8""",33,462,2128,Legends,Legends,Italy
Nesta,90,CB,Legend,0,2,3,M \ H,67,32,62,61,92,86,"187cm | 6'1""",8,400,1771,Legends,Legends,Italy
Bergkamp,90,CF,Legend,0,4,4,M \ L,83,90,83,87,26,79,"183cm | 6'0""",22,448,2091,Legends,Legends,Netherlands
Stoichkov,90,ST,Legend,0,4,3,M \ M,84,88,85,87,51,82,"178cm | 5'10""",12,477,2231,Legends,Legends,Bulgaria
Luís Figo,90,RW,Legend,0,4,4,H \ L,83,81,86,90,38,75,"180cm | 5'10""",8,453,2095,Legends,Legends,Portugal
van Nistelrooy,90,ST,Legend,0,3,3,M \ L,84,89,68,76,33,76,"188cm | 6'2""",14,426,2007,Legends,Legends,Netherlands
Puyol,90,CB,Legend,0,2,3,M \ H,68,45,65,58,91,91,"178cm | 5'10""",21,418,1908,Legends,Legends,Spain
Ibrahimovic,90,ST,Normal,71K,4,4,M \ L,72,90,81,85,31,86,"195cm | 6'4""",154,445,2055,Manchester Utd,Premier League,Sweden
